Ini,FCI e ITx,Fin TX
1531100279728,1531100279799,1531100279799
1531100279830,1531100279926,1531100279926
1531100279957,1531100280033,1531100280033
1531100280064,1531100280167,1531100280167
1531100280198,1531100280287,1531100280287
1531100280319,1531100280401,1531100280401
1531100280432,1531100280511,1531100280511
1531100280542,1531100280641,1531100280642
1531100280672,1531100280742,1531100280742
1531100280773,1531100280816,1531100280816
1531100280847,1531100280956,1531100280956
1531100280987,1531100281065,1531100281065
1531100281096,1531100281185,1531100281185
1531100281216,1531100281306,1531100281306
1531100281338,1531100281443,1531100281443
1531100281474,1531100281625,1531100281626
1531100281657,1531100281717,1531100281717
1531100281748,1531100281850,1531100281850
1531100281881,1531100281961,1531100281961
1531100281992,1531100282069,1531100282069
1531100282100,1531100282196,1531100282196
1531100282227,1531100282322,1531100282323
1531100282353,1531100282435,1531100282435
1531100282466,1531100282567,1531100282567
1531100282598,1531100282693,1531100282693
1531100282724,1531100282813,1531100282813
1531100282844,1531100282923,1531100282924
1531100282955,1531100283056,1531100283056
1531100283087,1531100283149,1531100283150
1531100283181,1531100283285,1531100283286
1531100283317,1531100283411,1531100283412
1531100283443,1531100283532,1531100283533
1531100283564,1531100283651,1531100283651
1531100283682,1531100283772,1531100283772
1531100283804,1531100283885,1531100283886
1531100283916,1531100283977,1531100283977
1531100284007,1531100284051,1531100284051
1531100284082,1531100284188,1531100284188
1531100284219,1531100284308,1531100284308
1531100284339,1531100284513,1531100284514
1531100284545,1531100284597,1531100284597
1531100284628,1531100284713,1531100284713
1531100284744,1531100284856,1531100284856
